VIT_01s0011g00600.t01	GO:0009534	GO:0009507	GO:0009643	GO:0009941	GO:0015713	GO:0009536	GO:0035436	GO:0015297	GO:0015717	GO:0005886	GO:0071917	GO:0015120	GO:0005794																																							
VIT_01s0011g00610.t01	GO:0003674	GO:0016573	GO:0035267	GO:0006357	GO:0005634																																															
VIT_01s0011g00620.t01	GO:0034613	GO:0005737	GO:0045309	GO:0007165	GO:0005634																																															
VIT_01s0011g00630.t01	GO:0008270	GO:0005515	GO:0031425	GO:0009507	GO:0005739																																															
VIT_01s0011g00640.t01	GO:0005802	GO:0005794	GO:0099503	GO:0000138	GO:0005576	GO:0007165	GO:0003674	GO:0005768																																												
VIT_01s0011g00650.t01	GO:0005794	GO:0006626	GO:0005515	GO:0045040	GO:0005739	GO:0009941	GO:0005576	GO:0009507	GO:0005802	GO:0030943	GO:0005740	GO:0005768	GO:0006109	GO:0003993	GO:0005737	GO:0005622																																				
VIT_01s0011g00660.t01	GO:0008270	GO:0005515	GO:0031425	GO:0009507	GO:0005739																																															
VIT_01s0011g00670.t01	GO:0005886	GO:0000911	GO:0005515	GO:0005634	GO:0031201	GO:0005484	GO:0016021	GO:0051707	GO:0009504	GO:0061025	GO:0016192	GO:0009612																																								
VIT_01s0011g00680.t01	GO:0022626	GO:0022627	GO:0000028	GO:0006412	GO:0009506	GO:0005829	GO:0005634	GO:0003735	GO:0003729	GO:0009505	GO:0003723																																									
VIT_01s0011g00690.t01	GO:0006065	GO:0052546	GO:0005634	GO:0006024	GO:0003979	GO:0009505	GO:0051287	GO:0005829	GO:0005975	GO:0005737																																										
VIT_01s0011g00700.t01	GO:0005634	GO:0003674	GO:0008150																																																	
VIT_01s0011g00710.t01	GO:0003700	GO:0000976	GO:0006355	GO:0005634																																																
VIT_01s0011g00720.t01	GO:0009414	GO:0005634	GO:0000976	GO:0006970	GO:0006355	GO:0003700	GO:0009651	GO:0043565																																												
VIT_01s0011g00730.t01	GO:0009536	GO:0009507	GO:0008184	GO:0030170	GO:0009414	GO:0005829	GO:0009570	GO:0005980	GO:0102499	GO:0004645	GO:0102250	GO:0009266	GO:0016757	GO:0005737																																						
VIT_01s0011g00740.t01	GO:0005739	GO:0005758	GO:0005730	GO:0008270	GO:0005759	GO:0005829	GO:0004222	GO:0000325	GO:0005750	GO:0009505	GO:0005741	GO:0005743	GO:0005515	GO:0009507																																						
VIT_01s0011g00750.t01	GO:0008422	GO:0005739	GO:0010035	GO:0005975	GO:0009416	GO:0048046	GO:0102483																																													
VIT_01s0011g00760.t01	GO:0008422	GO:0005739	GO:0010035	GO:0005975	GO:0009416	GO:0048046	GO:0102483																																													
VIT_01s0011g00770.t01	GO:0005737	GO:0008150	GO:0005634	GO:0003674																																																
VIT_01s0011g00780.t01	GO:0000138	GO:0005794	GO:0044281	GO:0006629	GO:0005739	GO:0003674	GO:0005737																																													
VIT_01s0011g00790.t01	GO:0009793	GO:0048366	GO:0043022	GO:0009909	GO:1902182	GO:0051083	GO:0005829	GO:0006450	GO:0030544	GO:0005634																																										
VIT_01s0011g00800.t01	GO:0009969	GO:0009505	GO:0005576	GO:0009506	GO:0009251	GO:0048046	GO:0009536	GO:0005739	GO:0008422																																											
VIT_01s0011g00810.t01	GO:0005576	GO:0007165	GO:0004566																																																	
VIT_01s0011g00830.t01	GO:0009617	GO:0009409	GO:0010115	GO:0009408	GO:0009651	GO:0005829	GO:0003674	GO:0005739	GO:0009738																																											
VIT_01s0011g00840.t01	GO:0008150	GO:0003674	GO:0009505																																																	
VIT_01s0011g00850.t01	GO:0005739	GO:0003674	GO:0009507	GO:0008150																																																
VIT_01s0011g00870.t01	GO:0003674	GO:0005737	GO:0005739	GO:0008150																																																
VIT_01s0011g00880.t01	GO:0009507	GO:0005515	GO:0009840	GO:0005634	GO:0003677	GO:0009416																																														
VIT_01s0011g00890.t01	GO:0005575	GO:0008150	GO:0003674	GO:0005739																																																
VIT_01s0011g00900.t01	GO:0005739	GO:0003723	GO:0006979	GO:0009451	GO:0009651	GO:0009737	GO:0043231																																													
VIT_01s0011g00910.t01	GO:0005575	GO:0016053	GO:0032870	GO:0009611	GO:0009753	GO:0003674	GO:1901698																																													
VIT_01s0011g00920.t01	GO:0003674	GO:0022626	GO:0005739	GO:0008150																																																
VIT_01s0011g00930.t01	GO:0009543	GO:0009416	GO:0005515	GO:0009507	GO:0009536	GO:0010196	GO:0061077	GO:0000413	GO:0031977	GO:0003755																																										
VIT_01s0011g00940.t01	GO:0008150	GO:0005739	GO:0003674																																																	
VIT_01s0011g00950.t01	GO:0043531	GO:0000166	GO:0019897	GO:0009626	GO:0005515	GO:0006952	GO:0005886																																													
VIT_01s0011g00960.t01	GO:0043531	GO:0000166	GO:0019897	GO:0009626	GO:0005515	GO:0006952	GO:0005886																																													
