species	TD	non_TD	absolute_latitude	elevation	GHM	population	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	peo_bio1	peo_bio2	peo_bio3	peo_bio4	peo_bio5	peo_bio6	peo_bio7	peo_bio8	peo_bio9	peo_bio10	peo_bio11	peo_bio12	peo_bio13	peo_bio14	peo_bio15	peo_bio16	peo_bio17	peo_bio18	peo_bio19	vapr	wind	srad	npp	ALUM_SAT	BSAT	BULK	CEC_CLAY	CEC_SOIL	CLAY	CN_RATIO	COARSE	ELEC_COND	GYPSUM	ORG_CARBON	PH_WATER	REF_BULK	SAND	SILT	TCARBON_EQ	TEB	TOTAL_N	ESP	soil_phosphorus	leaf_phenology	growth_habit	height
Arabidopsis_suecica	6919	48808	61.2	112.58	0.42	170.15	3.85	7.53	24.27	798.31	19.94	-9.88	29.82	11.58	-0.94	14.04	-5.68	618.66	76.69	30.87	28.83	211.12	102.37	198.6	127.43	-210.27	72.28	20.89	9844.13	-46.96	-382.36	335.4	-84.86	-324.38	-80.54	-332.79	528.18	102.93	13.74	66.74	260.62	51.02	257.47	55.84	0.68	2.96	8673.52	1.21E+11	17.62	46.24	1.18	50.55	15.63	9.92	11.01	17.01	0.34	0.67	5.24	4.75	1.24	48.82	26.76	0.38	9.74	1.94	1.77	314.94	NA	herbs	NA
Arabidopsis_thaliana	4273	23351	51.89	180.98	0.54	313.13	8.37	7.57	31.13	587.27	21.38	-1.97	23.35	10.09	6.01	15.78	1.44	749.29	84.24	41.92	20.82	235.93	140.2	191.37	183.66	-47.22	88.65	29.15	7906.68	99.77	-206.08	305.85	7.69	-100.02	48.25	-153.23	783.15	100.96	38.81	28.77	269.25	136.3	232.47	166.35	0.89	3.58	10127	2.43E+11	12.04	61.18	1.33	48.41	13.95	16.93	9.7	14.62	0.74	1.23	2.35	5.55	1.48	43.42	30.53	2.51	12.67	1.23	2.54	347.06	NA	herbs	0.195
Arachis_duranensis	3962	30591	13.74	642.15	0.41	803.08	20.98	11.56	50.21	390.34	31.18	8.62	22.57	24.57	16.95	25.16	15.81	992.27	185.67	11.73	82.9	511.64	44.23	458.2	65.79	169.82	131.38	51.69	4169.23	286.53	33.66	252.88	209.88	122.94	218.6	112.38	983.62	190.05	9.07	80.67	517.21	37.7	469.62	56.92	1.71	2.35	15797.19	5.44E+11	13.67	58.45	1.27	41.69	14.34	26.19	8.34	12.67	1.03	1.22	0.86	5.56	1.61	34.96	27.22	2.25	13.27	0.74	3.91	307.38	NA	herbs	NA
Arctium_lappa	4468	36102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	herbs	1.3421429
Areca_catechu	3394	28175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	woody	NA
Azolla_filiculoides	722	19479	38.38	145.58	0.59	611.95	11.67	8.7	38.88	498.67	23.85	1.76	22.09	10.92	10.56	17.88	5.74	770.34	93.66	38.37	28.46	260.55	132.32	182.26	199.43	41.21	103.93	36.91	6454.96	181.15	-103.92	285.07	67.17	16.64	117	-47.33	777.88	98.34	37.32	27.46	265.42	133.65	193.69	197.34	1.08	3.85	11893.05	2.98E+11	5.73	70.23	1.24	50.29	19.03	21.49	9.4	10.4	1.21	0.96	3.39	5.86	1.55	35.65	31.53	4.14	20.76	1.8	3.82	348.9	NA	NA	NA
Bauhinia_variegata	6276	31401	6.66	580.26	0.65	1832.03	20.53	10.25	53.68	302.47	29.6	10.5	19.1	22.54	18.33	23.93	16.59	1290.37	238.97	26.04	70.64	626.68	96.8	449.54	168.33	172.65	122.37	55.79	3429.06	278.94	53.53	225.41	194.77	148.32	212.28	125.47	1272.89	246.8	22.24	73.53	638.89	86.16	466.53	151.68	1.79	2.39	16404.55	4.18E+11	11.81	40.96	0.98	26.86	9.48	21.42	7.04	9.6	0.49	0.51	0.75	4.16	1.26	30.25	17.55	1.3	8.42	0.6	2.6	302.42	D	woody	NA
Beta_vulgaris	3426	23095	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	herbs	1.2125
Betula_pendula	4517	23636	53.43	227.88	0.49	265.02	7.33	7.77	30.65	653.95	21.36	-4.08	25.44	10.35	3.89	15.56	-0.43	761.5	86.94	42.5	22.87	243.33	141.35	207.71	178.9	-69.14	86.02	27.47	8365.17	82.13	-233.71	315.83	-0.98	-135.65	33.12	-180.28	742.48	97.28	37.09	32.64	259.42	128.79	236.65	149.03	0.86	3.57	10107.89	2.40E+11	13.89	59.41	1.34	50.38	14.86	16.19	10.43	15.56	0.67	1.13	3	5.52	1.48	45.49	30.87	2.24	12.27	1.45	2.37	354.34	D	woody	24.2832258
Brachypodium_distachyon	4463	29847	30.08	362.78	0.42	281.23	14.24	10.13	38.98	534.71	28.02	3.28	24.74	12.15	19.6	21.07	8.08	521.99	76.69	15.35	44.46	202.05	63.55	72.84	169.46	106.08	108.81	44	4739.77	240.47	-2.31	242.77	65.15	163.49	167.95	46.88	593.55	91.57	12.87	50.18	240.58	56.11	62.12	226.41	1.1	3.25	15319.24	2.14E+11	2.02	76.39	1.29	49.61	13.81	21.1	8.02	13.81	1.24	1.66	0.77	6.55	1.54	38.98	27.91	8.29	25.84	0.7	6.36	521.74	NA	herbs	0.0938
