species	TD	non_TD	absolute_latitude	elevation	GHM	population	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	peo_bio1	peo_bio2	peo_bio3	peo_bio4	peo_bio5	peo_bio6	peo_bio7	peo_bio8	peo_bio9	peo_bio10	peo_bio11	peo_bio12	peo_bio13	peo_bio14	peo_bio15	peo_bio16	peo_bio17	peo_bio18	peo_bio19	vapr	wind	srad	npp	ALUM_SAT	BSAT	BULK	CEC_CLAY	CEC_SOIL	CLAY	CN_RATIO	COARSE	ELEC_COND	GYPSUM	ORG_CARBON	PH_WATER	REF_BULK	SAND	SILT	TCARBON_EQ	TEB	TOTAL_N	ESP	soil_phosphorus	leaf_phenology	growth_habit	height
Cichorium_intybus	5364	38357	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	herbs	0.6229947
Cinnamomum_kanehirae	5867	22032	24.12	852.96	0.28	710.47	17.78	5.52	32.9	398.23	25.66	9.08	16.58	21.91	13.43	22.26	12.57	2716.8	468.6	72.76	61.72	1246.58	245.28	1196.8	275.92	132.1	100.9	40.58	5343.44	242.18	-6.08	248.26	189.48	67.16	194.88	58.38	2922.64	506.16	54.34	67.58	1386.22	195.14	1353.38	241.9	1.79	3.27	14870.68	2.95E+11	33.08	44.43	1.46	31.21	10.67	27.04	8.99	14.33	0.29	2.04	0.69	5.25	1.77	39.85	31.11	0.12	5.24	0.72	2.61	376.08	EV	woody	NA
Citrus_clementina	5052	19948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	woody	NA
Citrus_unshiu	7364	21671	33.51	115.14	0.75	1746.89	15.61	8.24	29.7	678.46	29.11	2.07	27.04	21.99	9.1	23.89	7.24	1558.19	244.43	48.19	50.01	636.86	166.62	553.52	182	96.95	112.71	30.67	8955.14	276.95	-98.57	375.52	189.52	-1.62	208.14	-22.86	1482.29	256.67	27.95	61	654.33	113.62	608.14	131.43	1.45	3	13362.86	3.29E+11	18.4	37.44	1.01	26.94	8	19.06	6.81	8.58	0.27	0.49	0.7	4.03	1.28	31.11	21.25	0.6	5.74	0.58	1.67	166.72	NA	woody	NA
Cleome_violacea	3125	18725	38.42	400.03	0.36	98.59	15.26	11.1	40.83	560.92	30.64	3.73	26.91	9.97	22.33	22.56	8.89	665.45	103.64	6.78	58.48	285.01	40.17	45.97	268.18	110.19	106.75	43.03	4673.88	258.7	14.22	244.48	61.58	172.09	173.93	55.58	924.51	171.77	4.01	72.29	459.57	28.81	32.8	443.87	1.17	2.98	16454.47	2.45E+11	2.54	36.13	0.67	26.12	6.89	10.09	4.5	7.34	0.56	0.77	0.52	3.21	0.79	22.24	13.54	2.13	10.36	0.43	2.68	397.61	NA	herbs	NA
Coffea_arabica	7805	36869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EV	woody	4.572
Coffea_canephora	4126	21448	2.07	511.92	0.36	329.96	23.39	9.47	70.9	111.94	30.16	16.69	13.46	23.64	22.7	24.68	21.98	1796.55	294.48	42.21	58.57	764.97	159.99	457.16	370.21	202.08	106.26	70.13	1208.69	276.67	124.95	151.73	206.01	192.49	216.14	185.61	1711.13	290.84	36.31	59.62	734.96	149.82	480.42	325.5	2.29	1.98	16304.88	6.22E+11	21.37	40.75	1.21	23.95	10.26	32.59	9.08	12.5	0.38	0.42	1.01	5	1.69	37.72	19.1	0.45	6.38	0.77	2.4	220.47	EV	woody	NA
Corylus_avellana	8091	17641	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	D	woody	4.9786957
Corymbia_citriodora	9297	26331	24.29	290.19	0.31	349.19	18.68	10.84	50.02	393.18	28.78	7.26	21.52	22.25	14.92	23.18	13.49	988.26	153.79	32.45	48.83	413.69	114.55	371.71	144.15	150.93	133.09	52.08	4279.03	267.24	12.53	254.71	189.6	112.65	200.92	91.79	1015.98	163.53	28.64	53.02	442.86	101.34	391.33	136.92	1.5	3.05	17788.06	5.01E+11	8.98	62.32	1.36	40.04	13.58	27.54	8.78	10.53	0.93	0.62	0.69	5.73	1.65	39.51	24.18	1.81	13.89	0.62	5.5	341.57	NA	woody	NA
Cucurbita_pepo	3258	25985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	herbs	6.125
Cuscuta_australis	1162	16995	16.82	257.32	0.52	684.73	14.51	9.28	36.26	628.58	27.49	1.24	26.24	19.13	9.73	22	6.57	1111.83	191.82	32.57	53.44	496.92	116.07	429.92	164.49	98.67	119.45	38.95	7339.71	254.54	-73.87	328.41	158.38	40.05	188.44	-1.69	1125.79	224.18	23.11	65.3	560.19	89.8	488.59	152.35	1.31	2.8	14382.79	3.20E+11	10.29	56.42	1.21	37.48	11.55	20.33	8.17	12.2	0.89	1	1	5.27	1.45	36.85	25.73	2.63	12.24	0.73	3.62	311.75	NA	herbs	NA
Cuscuta_campestris	2950	42524	33.82	248.83	0.56	476.18	12.75	9.72	35.53	655.39	27.19	-0.1	27.28	15.54	10.73	20.75	4.72	777.66	108.95	32.19	36.28	291.8	113.36	230.1	163.67	58.6	110.99	35.92	7656.48	218.59	-105.87	324.46	82.2	36.39	150.63	-44.32	815.13	120.74	28.77	39.57	321.52	104.64	238.11	174.45	1.13	3.04	13659.92	2.73E+11	6.07	70.45	1.3	47.18	14.09	21.97	8.1	11.74	1.23	1.2	1	5.99	1.54	35.34	30.12	5.68	19.24	0.81	4.1	358.26	NA	herbs	0.55
Cycas_panzhihuaensis	7730	24623	25.56	1710.67	0.73	1031.75	16.99	11.09	47.29	457.66	26.83	3.37	23.47	21.78	10.83	21.78	10.83	864	179.17	9.67	86.15	488	36.5	488	36.5	131.33	112	47.17	4476.33	228.67	-7.33	236	180.5	68.67	181	68.67	901.83	195.67	9.17	86	513	35	477.5	35	1.35	1.82	14714.39	4.06E+11	13.71	25.95	0.73	12.05	4	15.21	4.52	8.9	0.1	1.57	0.31	2.78	0.92	21.57	13.21	0	2.45	0.36	1.26	289.52	EV	woody	NA
Cymbidium_ensifolium	8395	20343	21.59	743.44	0.45	662.17	19.18	8.25	40.43	472.95	29.23	7.66	21.57	22.99	13.86	24.49	12.97	1636.82	297.03	31.16	71.37	785.78	114.36	639.78	139.88	154.88	102.74	43.24	4759.52	269.24	25.49	243.75	196.57	102.66	211.62	88.98	1532.56	305.5	17.97	76.67	786.02	75.15	657.56	110.16	1.83	1.94	15159.83	4.01E+11	21.64	41.11	1.21	25.65	9.12	25.84	8.01	13.09	0.38	0.53	0.7	4.73	1.55	35.82	22.34	0.86	6.46	0.61	1.93	279.76	NA	herbs	NA
Daucus_carota	5235	26874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	herbs	0.5061471
Descurainia_sophioides	3844	24188	66.61	232.81	0.09	7.58	-8.26	8.35	17.25	1387.77	15.76	-29.19	44.95	7.69	-17.6	9.12	-24.19	284.76	47.28	10.38	48.18	123.13	35.89	115.46	46.91	-201.56	94.83	19.18	14930.44	67.95	-425.24	493.19	-9.05	-316.64	1.13	-372.13	168.31	30.13	5.29	57.32	77.84	18.72	74.14	25.12	0.35	3.22	8081.54	52086156899	7.37	58.94	1.08	47.13	15.4	13.73	10.56	18.29	0.82	1.09	3.72	5.2	1.33	36.44	32.26	2.69	14.07	1.93	2.84	108.2	NA	herbs	NA
Dioscorea_zingiberensis	4286	20903	30.83	787.76	0.67	358.31	14.99	9.09	30.71	770.48	29.54	-0.51	30.05	22.67	5.45	24.15	5.12	1025.31	190.34	15.66	73.49	502.34	58.65	460.25	61.89	108.63	102.62	32.44	7213.8	261.73	-55.08	316.81	181.57	15.48	198.14	8.58	905.96	182.94	11.15	80.31	477.12	46	441.94	53.74	1.35	1.73	13488.56	3.02E+11	7.25	48.83	0.97	30.95	8.95	17.06	5.58	11.1	0.68	0.96	0.4	4.27	1.17	26.31	21.89	2.91	9.78	0.43	2.05	393	NA	herbs	NA
Diptychocarpus_strictus	4258	22808	40.87	782.72	0.31	327.91	11.07	12.43	29.32	1148.1	33.46	-9.78	43.24	11.07	15.6	24.89	-3.37	219.96	35.15	4.49	54.38	93.89	18.02	36.98	65.72	50.28	138.79	30.47	11389.6	275.62	-188.64	464.26	47.45	115.49	185.74	-106.49	153.51	26.72	2.79	57.64	67.45	12.02	22.62	48.57	0.69	2.87	15877.69	56081192829	0.02	62.3	0.97	38.83	9.27	14.47	5.69	10.44	2.24	1.38	0.39	5.25	1.14	32.78	18.71	8.37	23.96	0.44	10.85	333.53	NA	herbs	NA
Drosera_spatulata	1428	16683	24.6	306.22	0.26	558.76	15.45	8.37	43.5	352.76	24.24	6.15	18.09	17.93	12.8	19.58	10.9	1553.27	221.8	63.62	37.41	586.23	228.29	465.75	281.7	127.23	116.1	48.19	4292.59	241.36	1.84	239.52	157.86	95.01	179	68.92	1685.14	237.89	62.81	42.43	643.1	231.91	517.16	293.97	1.38	3.71	15373.21	4.15E+11	20.04	47.23	1.34	37.75	11.51	23.43	10.84	13.37	0.49	0.74	1.21	5.24	1.6	46.12	23.29	0.65	8.03	0.81	3.24	214.16	NA	herbs	0.05
Durio_zibethinus	4717	31115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EV	woody	NA
Echinochloa_crus-galli	11483	92300	44.76	226.76	0.6	436.1	10.33	8.76	34.18	634.69	24.38	-1.38	25.76	12.73	7.07	18.19	2.67	809.16	97.06	42.96	25.22	267.35	144.41	226.32	181.29	14.07	97.61	32.21	7634.46	164.36	-145.54	309.9	66.15	-38.64	104.8	-89.84	794.99	103.05	38.52	28.13	275.22	135.23	232.65	170.77	1.01	3.42	11663.17	2.92E+11	9.34	67.3	1.36	49.05	14.14	19.63	9.27	13.19	0.92	1.14	1.55	5.83	1.55	39.95	31.86	3.86	15.24	1.05	2.92	345.03	NA	herbs	NA
Elaeis_guineensis	2797	23498	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	woody	NA
Eragrostis_curvula	12414	42768	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	herbs	NA
Eragrostis_tef	5840	32387	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	herbs	NA
Erigeron_canadensis	5074	23629	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	herbs	0.2418
Eucalyptus_grandis	9858	26921	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EV	woody	41.645
Eutrema_salsugineum	3657	22871	53.4	661.85	0.23	68.46	-0.5	11.92	24.94	1376.19	23.82	-24.74	48.56	15.42	-13.26	15.79	-17.92	383.62	74.48	9.28	65.62	188.94	34.77	186.61	45.48	-104.48	123.73	24.41	14246.8	147.48	-368.17	515.65	60.84	-253.58	70.86	-291.96	256.54	49.81	6.83	61.27	126.76	24.38	122.09	28.63	0.56	2.6	11896.72	1.40E+11	4.43	74.82	1.3	58.24	14.34	17.66	8.75	14.83	1.33	1.32	1.24	6.12	1.5	37.01	35.02	5.42	16.99	0.99	3.92	346.33	NA	herbs	NA
Ficus_carica	6349	31335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	D	woody	6.5
Glycine_max	5329	50568	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	herbs	0.63288
Gnetum_montanum	5500	21854	21.28	638.79	0.59	416.83	20.58	8.77	42.47	431.76	30.02	9	21.02	24.19	15.59	25.25	14.78	1653.16	325.95	19.7	78.06	863.77	77.09	718.51	108.09	172.52	109.54	45.61	4429.33	281.61	40.69	240.92	213.02	121.72	223.17	110.14	1524.21	310.37	13.89	80.14	802.27	57.69	696.65	83.91	1.94	1.75	15815.21	4.36E+11	15.08	34.6	0.95	19.56	7.64	21.77	6.5	10.42	0.33	0.28	0.52	3.85	1.25	27.68	17.76	1.26	5.05	0.48	1.6	294.35	EV	woody	NA
Gossypium_arboreum	4506	29904	14.34	307.9	0.59	1312.71	19.74	8.78	46.96	346.02	28.84	10.1	18.74	21.93	16.92	23.8	15.31	1115.19	220.5	18.26	70.69	565.25	68.2	328.61	204	176	109.16	51.25	4039.72	285.61	52.61	233.01	202.61	144.61	224.29	120.86	1140.72	232.03	15.36	78.04	576.08	64.16	383.41	182.39	1.79	2	14620.16	3.41E+11	8.79	37.63	0.85	23.04	7.65	17.16	5.76	9.51	0.48	0.53	0.5	3.59	1.06	26.35	15.39	1.34	7.54	0.42	2.54	268.73	NA	woody	NA
Gossypium_darwinii	9906	68397	0.27	167.68	0.12	43.77	18.26	6.75	50.73	132.32	23.68	13.08	10.6	19.78	17.05	19.97	16.71	278.37	54.18	5.45	66.06	148.03	20.4	142.78	26.57	194.56	68.66	50.77	2149.59	268.97	136.6	132.36	222.41	180.16	223.5	168.16	536.59	115.9	19.61	73.58	271.51	69.85	267.34	90.1	1.86	3.23	13096.97	79848442465	10.87	61.36	1.26	43.75	10.6	18.15	9.03	15.77	0.85	0.78	0.55	5.9	1.48	49.51	19.5	2.71	14.7	0.5	4.61	6.47	NA	NA	NA
Gossypium_hirsutum	6177	60400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	woody	NA
Helianthus_annuus	8021	44168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	herbs	2.4810667
Hevea_brasiliensis	5420	29763	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	D	woody	40
Ipomoea_cairica	5365	32750	2.91	281.48	0.59	1411.83	19	8.29	45.27	317.03	27.22	10.03	17.19	21.26	16.69	22.65	14.93	1383.14	231.49	38.87	55.8	616.51	137.41	504.6	200.4	165.35	116.25	51.07	4040.41	274.91	42.23	232.68	196.57	132.6	213.82	110.73	1470.16	259.05	32.76	63.15	684.06	122.1	565.48	191.49	1.73	2.79	15162.06	3.31E+11	13.74	45.65	1.11	29.25	10.01	22.9	7.82	10.04	0.66	0.63	0.72	4.61	1.39	33.55	20.32	1.5	8.82	0.59	3.25	242.99	NA	herbs	NA
Ipomoea_nil	5353	29798	9	340.86	0.47	747.96	21.03	10.27	52.68	353.18	30.8	10.45	20.36	23.95	17.76	25.11	16.47	1182.47	228.77	20.79	77.18	593.9	76.68	419.66	137.43	175.87	122.44	53.4	4218.44	294.38	44.68	249.69	212.71	136.32	225.88	117.81	1126.19	230.99	16.58	82.48	593.12	64.98	409.49	115.55	1.87	2.48	16536.46	3.88E+11	8.23	59.26	1.18	40.82	12.83	22.71	7.99	12.97	0.99	0.86	0.77	5.46	1.47	37.75	22.12	3.34	14.93	0.67	4.61	348.8	NA	herbs	NA
Ipomoea_triloba	6218	25140	16.35	218.71	0.55	867.41	22.05	8.74	48.43	327.15	30.55	12.55	18	24.79	19.5	25.75	17.79	1587.3	309.29	29.62	75.22	820.22	107.67	691.68	162.75	185.42	116.71	51.39	4178.29	295.43	57.85	237.57	221.7	151.73	234.21	127.98	1565.92	314.56	23.12	79.27	832.16	89.24	708.95	145.49	2.08	2.7	16247.91	3.42E+11	12.37	56.14	1.22	35.98	12.39	24.87	8.73	14.13	1.01	0.76	0.95	5.41	1.56	37.69	23.75	2.98	11.52	0.74	3.83	358.32	NA	herbs	NA
Isoetes_taiwanensis	7336	33863	24.98	201.55	0.75	4656.24	20.52	6.12	30.68	508.87	30.55	10.61	19.94	25.19	16.21	26.48	14.19	2512.55	319.64	129.55	34.68	861.09	415.91	761.36	444	155.73	104.18	35.09	6747.45	292.27	-0.09	292.36	212	82.82	238.27	64.73	2332	327	69.55	48.18	922.45	263.82	834.64	332.09	2.09	3.54	14796.52	2.78E+11	19.29	54.78	1.32	27.55	9.69	25.57	8.48	14.26	0.61	0.52	0.58	5.3	1.65	38.75	26.58	1.62	5.25	0.56	2.7	64.2	NA	NA	NA
Jacaranda_mimosifolia	5485	25022	4.58	556	0.66	1048.22	18.01	10.79	53.33	335.56	28.32	7.94	20.38	18.78	17.79	22.1	13.88	886.72	146.86	22.98	58.34	387.98	86	232.75	171.33	144.28	125.54	55.85	3465.99	259.83	31.42	228.41	151	141.23	187.7	99.33	875.93	162.27	17.12	64.99	412.32	68.98	228.98	191.4	1.45	3.12	16886.12	3.66E+11	8.48	48.98	1.04	32.59	10.54	21.2	7.09	9.39	0.65	0.68	0.65	4.58	1.29	31.65	19.16	2.17	12.13	0.56	3.47	322.13	NA	woody	NA
Juglans_regia	4712	25912	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	D	woody	22.5409412
Kandelia_obovata	937	18201	24.33	71.75	0.55	3976.05	15.95	4.39	22.62	366.36	22.93	8.59	14.34	19.12	12.59	20.15	11.29	1771.11	249.82	76.75	33.85	676.66	250.89	618.03	267.89	167.45	106.8	37.27	6263.16	294.99	15.39	279.6	224.61	100.55	242.41	81.76	2105.58	348.7	47.71	62.48	946.42	178.93	852.01	232.08	1.6	2.65	10962.64	2.30E+11	13.82	33.48	0.88	18.04	6.3	18.24	5.87	8.26	0.98	0.36	0.4	3.61	1.12	25.95	16.89	1.63	5.31	0.38	3.04	76.37	NA	woody	NA
Lactuca_sativa	5975	32318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	herbs	0.7
Leersia_perrieri	4263	24815	15.8	292.38	0.32	357.46	22.66	10.35	64.86	139.92	29	14.25	14.75	23.76	21.31	23.92	20.67	1492.62	350.38	20.77	84.8	861.54	82.77	669.69	101.23	199.15	92.31	63	1312.38	257.92	123.31	134.62	208.31	181.77	210.77	179.15	1401.08	385.92	4.15	102.23	944.92	15.38	564.23	16.62	2.11	2.6	19190.98	4.68E+11	13.83	64.93	1.23	31.25	14.32	36.01	10.5	10.7	3.02	1.43	1.02	5.68	1.75	33.3	23	3.66	19.62	0.69	17.62	175.62	NA	herbs	NA
Lemna_minor	683	21699	52.68	121.27	0.57	295.04	8.35	7.52	31.26	604.87	21.48	-2.29	23.77	10.46	4.88	15.94	1.18	734.68	81.94	41.01	21.52	231.24	137.24	195.35	175.26	-54.64	89.88	28.2	8309.73	96.5	-222.68	319.18	11.19	-124.59	45.56	-166.13	756.56	97.49	38.18	28.41	257.94	135.01	233.13	155.14	0.91	3.9	10006.06	2.34E+11	10.98	65.82	1.37	51.54	15.62	18.13	10.14	13.86	0.84	1.08	2.82	5.8	1.54	43.78	32.29	2.78	14.56	1.46	2.7	347.53	NA	herbs	0.0048
Lindenbergia_luchunensis	4240	25364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	herbs	NA
Linum_usitatissimum	4833	38638	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	herbs	0.5583333
Luffa_acutangula	3554	38657	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	herbs	NA
Malus_domestica	7211	37905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	D	woody	9.1857143
Manihot_esculenta	4391	28653	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EV	woody	NA
Medicago_truncatula	10233	40211	9.49	253	0.43	305.58	15.36	10.77	40.1	535.22	29.12	3.89	25.23	12.8	19.71	22.08	9.01	471.18	68.1	14.8	40.9	181.02	59.02	73.75	154.31	118	119.37	44.09	5099.63	263.68	-1.17	264.85	84.71	162.51	184.43	53.67	549.49	86.31	14.32	47.4	225.5	57.03	71.14	203.74	1.1	3.33	15956.33	2.06E+11	1.65	78.09	1.32	50.67	15.1	23.17	7.54	12.73	1.5	1.57	0.64	6.52	1.55	38.2	25.52	7.69	27.88	0.62	8.84	378.04	NA	herbs	NA
